私はよく勉強しますから、とても忙しいです。,私はたくさん勉強しますから、とても忙しいです。
でも、忙しくないのときは、アニメを見て、ビデオゲイムをします。,でも、忙しくないのときは、アニメを見て、ビデオゲイムをします。
アニメとゲイムはとても楽しいと面白い。,アニメとゲームはとても楽しくて面白い。
一生のときは、五百時間ぐらい見て、三百時間ぐらいしました。,一生のときは、五百時間ぐらい見て、三百時間ぐらいしました。
私の友だちは、私あまりにも多くアニメを見ると思います。,私の友だちは、私がアニメを見すぎると思っています。
私は、私の友だちは、正しいと思います。,私は、私の友だちが、正しいと思います。
今年は、あまりアニメを見て、ゲイムをしません。,今年は、あまりアニメを見たり、ゲイムをしたりしていせん。
私はよく生化学を勉強して、アルバイトをしますから。,私はよく生化学を勉強して、アルバイトをしますから。
私は、アニメは日本語の練習に役立つと思います。,私は、アニメは日本語の練習に役立つと思います。
アニメは、ギンタマと四畳半神話大系が好きです。,アニメは、ギンタマと四畳半神話大系が好きです。
ゲイムは、ホライゾンゼロダーンとウィートチャが好きです。,ゲイムは、ホライゾンゼロダーンとウィートチャが好きです。
ゲイムはたのしいから、ゲイムをするのが好きです。,ゲイムはたのしいから、ゲイムをするのが好きです。
私の家族は四人家族です。,私の家族は四人家族です。
父と母とあねがいます。,父と母とあねがいます。
私の母は日本人で、父はメキシコ人です。,私の母は日本人で、父はメキシコ人です。
父と母は大学のときに出会いました。,父と母は大学のときに出会いました。
母はしずかですが、おもしろいです。,母はしずかですが、おもしろいです。
今、母は会社に勤めています。,今、母は会社に勤めています。
でも私が小さかったころ、母は主婦でした。,でも私が小さかったころ、母は主婦でした。
私の父はとても元気で、あたまがいい人です。,私の父はとても元気で、あたまがいい人です。
私は生まれたときから今までBPの会社につとめています。,私は生まれたときから今までBPの会社につとめています。
あねはMITの四年生の学生です。,あねはMITの四年生の学生です。
せんこうは生物学です。,せんこうは生物学です。
来年あねはシカゴの大学の大学院生になります。,来年あねはシカゴ大学の大学院生になります。
私は今あねとマコーミックのりょうに住んでいます。,私は今あねとマコーミックのりょうに住んでいます。
時々けんかをしますが、あねと住むのは楽しいしべんりです。,時々けんかをしますが、あねと住むのは楽しいしべんりです。
私の家族はよくりょこうします。,私の家族はよくりょこうします。
子どもの時は何度か日本とメキシコに行きました。,子どもの時は何度か日本とメキシコに行きました。
家族でよくハイキングとさんぽをします。,家族でよくハイキングとさんぽをします。
さいごに私の家族の一番大切なメンバーはうちの犬の花子です。,さいごに私の家族の一番大切なメンバーはうちの犬の花子です。
しば犬ですがとてもかわいくておもしろいです。,しば犬ですがとてもかわいくておもしろいです。
へんなことをしていないとき、花子はよく寝ています。,何もしていないとき、花子はよく寝ています。
私の家族 は 四人 です。,私の家族 は 四人 です。
私の父 は メキシコ人 で エンジニア です。,私の父 は メキシコ人 で エンジニア です。
父 は あたまがいい です。,父 は あたまがいい です。
私の母 は アメリカ人 で がっこの先生 です。,私の母 は アメリカ人 で がっこうの先生 です。
母 は しんせつな人 です。,母 は しんせつな人 です。
私の双子のあね は 大学生 です。,私の双子のあね は 大学生 です。
タフツ大学 で べんきょします。,タフツ大学 で べんきょうしています。
私のあねのせんこお は いきものがく です。,私のあねのせんこうは 生物学です。
私のあね は 二十一歳 です。,私のあね は 二十一歳 です。
ペット が います。,ペット が います。
家族のペット は やさしくて大きいな いぬ です。,家族のペット は やさしくて大きいな いぬ です。
いぬ の なまえ は ハーシー です。,いぬ の なまえ は ハーシー です。
ハーシー は ラブラドール の いぬ です。,ハーシー は ラブラドール 犬です。
私の家族が三人いて、あねが一人います。,私の家族は三人いて、あねが一人います。
母と父はニューヨークのソマーズにすんでいます。,母と父はニューヨークのソマーズにすんでいます。
母の仕事はアーティストで、父の仕事は映画監督です。,母の仕事はアーティストで、父の仕事は映画監督です。
母はりょうりするのがじょうずです。,母はりょうりするのがじょうずです。
母と父はあたまがよくて、しんせつで、せがひくいです。,母と父はあたまがよくて、しんせつで、せがひくいです。
あねは二十三さいです。,あねは二十三さいです。
あねは大学院二年生で、バークレー にすんでいます。,あねは大学院二年生で、バークレー にすんでいます。
あねはカリフォルニアにすんでいるのがすきだと言っていて、天気はいいですから。,あねはカリフォルニアは天気がいいから、カリフォルニアに住むのがすきだと言っています。
大学生の時、あねのせんこうは化学工学でした。,大学生の時、あねのせんこうは化学工学でした。
ねこがいって、なまえはモチです。,ねこがいて、なまえはモチです。
せんしゅう、私の家族はいぬをアダプトして、なまえはパピです。,せんしゅう、私の家族はいぬをアダプトして、なまえはパピです。
クリスマスの時、祖母はこの写真をとりました。,クリスマスの時、祖母はこの写真をとりました。
写真に七人の家族がいます。,写真に七人の家族がうつっています。
僕は兄弟が三人います。,僕は兄弟が三人います。
写真の左上に妹マギがいます。,写真の左上に妹のマギがいます。
専攻は機械工学です。,専攻は機械工学です。
写真の下右に弟が二人います。,写真の右下に弟が二人います。
ナタヌ君は医学生で、ジャイ君は文学生です。,ナタヌ君は医学生で、ジャイ君は文学の学生です。
いとこマニスも文学生です。,いとこのマニスも文学の学生です。
ペットが一匹います。,ペットが一匹います。
カルシウムと言っています。,カルシウムと言います。
可愛くて、忠実な犬です。,可愛くて、忠実な犬です。
写真の左に親が二人います。,写真の左に両親がいます。
